ticker,company_name,exchange,sector,industry,universe_reason
OPTT,"Ocean Power Technologies, Inc.",NYSE American,Industrials,Electrical Equipment,"Configured ocean-energy microcap; survival and commercialization optionality."
WATT,Energous Corp,NASDAQ,Technology,Electronic Components,"Configured wireless-power microcap; narrative and product-cycle optionality."
HYSR,"SunHydrogen, Inc.",OTC,Energy,Renewable Energy Equipment,"Configured renewable hydrogen speculation; OTC liquidity and financing risk."
AQMS,"Aqua Metals, Inc.",NASDAQ,Industrials,Waste Management,"Configured battery recycling speculation; policy and commercialization optionality."
TOMZ,"TOMI Environmental Solutions Inc.",NASDAQ,Industrials,Pollution & Treatment Controls,"Configured physical-automation watch: autonomous cleaning, SteraMist robot upgrade, fleet hygiene, biosecurity, decontamination automation, drone/UAV and defense-adjacent sanitation; keep dilution/reset risks visible."
CLIR,ClearSign Technologies Corp,NASDAQ,Industrials,Pollution & Treatment Controls,"Configured emissions-control microcap; industrial adoption optionality."
ABEV,Ambev S.A.,NYSE,Consumer Defensive,Beverages,"Configured low-priced international ADR; consumer and currency-flow sensitivity."
ADTX,"Aditxt, Inc.",NASDAQ,Healthcare,Biotechnology,"Configured distressed biotech; financing and catalyst optionality."
AGRI,AgriFORCE Growing Systems Ltd.,NASDAQ,Consumer Defensive,Agricultural Inputs,"Configured ag-tech microcap; food-system narrative optionality."
AMTX,"Aemetis, Inc.",NASDAQ,Energy,Renewable Fuels,"Configured renewable fuels equity; policy, credit, and financing sensitivity."
AREB,American Rebel Holdings Inc.,NASDAQ,Consumer Cyclical,Leisure Products,"Configured microcap consumer/security brand; dilution and survival risk."
ASRT,Assertio Holdings Inc.,NASDAQ,Healthcare,Drug Manufacturers Specialty & Generic,"Configured small healthcare equity; restructuring and cash-flow repricing potential."
ATOS,Atossa Therapeutics Inc.,NASDAQ,Healthcare,Biotechnology,"Configured biotech optionality; clinical catalyst and dilution risk."
AULT,Ault Alliance Inc.,NYSE American,Financial Services,Capital Markets,"Configured distressed holding-company speculation; financing and asset-value uncertainty."
BBAI,BigBear.ai Holdings Inc.,NYSE,Technology,Information Technology Services,"Configured AI/defense narrative equity; reflexive attention and contract optionality."
BNGO,Bionano Genomics Inc.,NASDAQ,Healthcare,Diagnostics & Research,"Configured genomics speculation; survival, adoption, and dilution risk."
BTBT,Bit Digital Inc.,NASDAQ,Technology,Capital Markets,"Configured crypto-adjacent equity; liquidity and narrative flow sensitivity."
CENN,Cenntro Inc.,NASDAQ,Consumer Cyclical,Auto Manufacturers,"Configured EV microcap; survival and policy narrative sensitivity."
CGTX,Cognition Therapeutics Inc.,NASDAQ,Healthcare,Biotechnology,"Configured biotech optionality; clinical readout and financing risk."
CLNE,Clean Energy Fuels Corp,NASDAQ,Energy,Oil & Gas Refining & Marketing,"Configured clean fuels infrastructure equity; policy and fleet adoption optionality."
CRKN,Crown ElectroKinetics Corp,NASDAQ,Industrials,Building Products & Equipment,"Configured distressed smart-glass/building-products speculation."
